,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
118,,o119,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
138,,o139,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
88,,o89,"(61.433132300613266, -63.697139433135625)",3180,Large,159.0,MCR,54,0,0
82,,o83,"(63.41049885410371, -68.10900360449682)",8120,Large,406.0,MCR,54,0,0
72,,o73,"(63.72899507480532, -78.1097043191964)",3950,Large,197.5,CDU,0,800,0
46,,o47,"(73.14326416751896, -85.52061338957746)",2400,Medium,120.0,MCR,32,0,0
163,,o164,"(69.0440875563095, -114.16413103517168)",4480,Large,224.0,ISB,0,0,257
27,,o28,"(69.80766220076015, -140.9624611305343)",20,Small,1.0,MCR,24,0,0
179,,o180,"(70.49096884891965, -131.42970680507597)",6690,Large,334.5,CDU,0,800,0
135,,o136,"(69.03035256138071, -94.82276525307002)",1840,Medium,92.0,MCR,32,0,0
195,,o196,"(67.60082588886198, -134.7428604222584)",7800,Large,390.0,MCR,54,0,0
22,,o23,"(71.38061764992644, -127.39770370175974)",7540,Large,377.0,ISB,0,0,257
140,,o141,"(68.6276630930874, -97.99902736939694)",9660,Large,483.0,CDU,0,800,0
52,,o53,"(58.851133884186325, -94.20693472697955)",3200,Large,160.0,ISB,0,0,257
130,,o131,"(69.31371327858832, -94.53252534894514)",480,Small,24.0,MCR,24,0,0
177,,o178,"(69.45553911240434, -123.85642478117892)",6160,Large,308.0,MCR,54,0,0
89,,o90,"(60.18887183950005, -63.03309323849996)",5920,Large,296.0,CDU,0,800,0
125,,o126,"(69.17440960666154, -81.12327214048015)",270,Small,13.5,CDU,0,100,0
61,,o62,"(61.6692048307691, -92.63760265599092)",8610,Large,430.5,MCR,54,0,0
109,,o110,"(77.28026321669991, -69.57542191844341)",2100,Medium,105.0,CDU,0,200,0
160,,o161,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
92,,o93,"(64.23984829032568, -63.44266050044166)",7420,Large,371.0,MCR,54,0,0
68,,o69,"(64.05066024217525, -83.19338002718928)",670,Small,33.5,MCR,24,0,0
104,,o105,"(73.88189194550003, -78.43285281799996)",7320,Large,366.0,MCR,54,0,0
54,,o55,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
81,,o82,"(62.76213160269137, -69.9622534121055)",4220,Large,211.0,CDU,0,800,0
145,,o146,"(67.58089452286133, -107.94493778969186)",6050,Large,302.5,MCR,54,0,0
112,,o113,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
84,,o85,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
150,,o151,"(68.13950209511573, -113.42097605555624)",9740,Large,487.0,MCR,54,0,0
129,,o130,"(69.49515090110985, -93.58442983407755)",3230,Large,161.5,ISB,0,0,257
86,,o87,"(60.33390402693301, -63.1711776709703)",7110,Large,355.5,CDU,0,800,0
174,,o175,"(69.40719270339133, -123.96592127270287)",7510,Large,375.5,CDU,0,800,0
120,,o121,"(76.79675252883519, -89.62904959361312)",1580,Medium,79.0,MCR,32,0,0
65,,o66,"(62.621525060942545, -91.40995008573063)",5080,Large,254.0,CDU,0,800,0
26,,o27,"(69.72113519208533, -139.68410856539091)",9260,Large,463.0,CDU,0,800,0
123,,o124,"(74.247414220806, -88.98871993609323)",7270,Large,363.5,MCR,54,0,0
137,,o138,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
