,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
213,,o214,"(62.76846511499132, -109.3384734295116)",1530,Medium,76.5,CDU,0,200,0
188,,o189,"(68.67783396782777, -64.47432715663773)",7730,Large,386.5,MCR,54,0,0
61,,o62,"(61.6692048307691, -92.63760265599092)",8610,Large,430.5,MCR,54,0,0
78,,o79,"(63.42721743087256, -74.94781314446465)",4360,Large,218.0,CDU,0,800,0
152,,o153,"(67.96005174954085, -110.29820330849492)",6060,Large,303.0,CDU,0,800,0
105,,o106,"(72.81168199886528, -77.5384227852805)",8230,Large,411.5,MCR,54,0,0
174,,o175,"(69.40719270339133, -123.96592127270287)",7510,Large,375.5,CDU,0,800,0
193,,o194,"(66.34168907989162, -129.46790900649174)",9580,Large,479.0,ISB,0,0,257
39,,o40,"(71.09250978235556, -120.92531763952243)",6340,Large,317.0,MCR,54,0,0
20,,o21,"(61.09720726830651, -115.372447561338)",730,Small,36.5,ISB,0,0,7
18,,o19,"(69.01970338203198, -105.17880159715504)",5540,Large,277.0,MCR,54,0,0
202,,o203,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
60,,o61,"(62.511501191529646, -91.4601644059024)",6430,Large,321.5,ISB,0,0,257
190,,o191,"(63.67264697989824, -91.65957636365208)",9330,Large,466.5,CDU,0,800,0
219,,o220,"(69.24304799574003, -137.32628644705787)",40,Small,2.0,CDU,0,100,0
73,,o74,"(64.50421666200003, -79.40601964599995)",8500,Large,425.0,CDU,0,800,0
84,,o85,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
137,,o138,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
126,,o127,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
52,,o53,"(58.851133884186325, -94.20693472697955)",3200,Large,160.0,ISB,0,0,257
23,,o24,"(71.0263633424708, -127.7679693701022)",5260,Large,263.0,CDU,0,800,0
34,,o35,"(70.39398583832822, -145.02156832230372)",3030,Large,151.5,MCR,54,0,0
15,,o16,"(62.00729885632203, -62.82936093819682)",7330,Large,366.5,ISB,0,0,257
125,,o126,"(69.17440960666154, -81.12327214048015)",270,Small,13.5,CDU,0,100,0
187,,o188,"(65.37405201963689, -60.65312823153994)",2680,Medium,134.0,MCR,32,0,0
165,,o166,"(69.86841673337953, -118.9489084963011)",5500,Large,275.0,CDU,0,800,0
214,,o215,"(62.876152621334256, -109.93912844523146)",5690,Large,284.5,CDU,0,800,0
71,,o72,"(63.316886379044426, -79.96743737291322)",8500,Large,425.0,MCR,54,0,0
178,,o179,"(69.57814395413881, -123.63714273588194)",5520,Large,276.0,ISB,0,0,257
186,,o187,"(69.53712126783223, -133.21758183905516)",5620,Large,281.0,ISB,0,0,257
191,,o192,"(68.70553599203063, -134.23381941293684)",6430,Large,321.5,ISB,0,0,257
21,,o22,"(67.67039190028026, -134.39853014621025)",2000,Medium,100.0,ISB,0,0,57
159,,o160,"(69.08845131190975, -114.56139924764797)",250,Small,12.5,CDU,0,100,0
217,,o218,"(62.88357719363138, -110.37292789149316)",300,Small,15.0,MCR,24,0,0
5,,o6,"(67.74870709975156, -63.582037936715594)",1280,Small,64.0,ISB,0,0,7
195,,o196,"(67.60082588886198, -134.7428604222584)",7800,Large,390.0,MCR,54,0,0
55,,o56,"(61.28059062663438, -93.24050320300437)",3830,Large,191.5,ISB,0,0,257
176,,o177,"(70.14045441002439, -123.53033843705632)",9810,Large,490.5,CDU,0,800,0
9,,o10,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
32,,o33,"(70.681140207655, -148.33568343024558)",7700,Large,385.0,MCR,54,0,0
19,,o20,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
86,,o87,"(60.33390402693301, -63.1711776709703)",7110,Large,355.5,CDU,0,800,0
108,,o109,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
54,,o55,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
131,,o132,"(69.1313521168679, -94.73537044677148)",3490,Large,174.5,MCR,54,0,0
216,,o217,"(62.83142365858523, -109.67662006555832)",2050,Medium,102.5,MCR,32,0,0
196,,o197,"(70.82301519053982, -130.33066350036327)",3920,Large,196.0,CDU,0,800,0
200,,o201,"(66.82674006457319, -80.42932645870972)",3140,Large,157.0,CDU,0,800,0
212,,o213,"(62.65633530378757, -111.28199524772351)",9750,Large,487.5,CDU,0,800,0
88,,o89,"(61.433132300613266, -63.697139433135625)",3180,Large,159.0,MCR,54,0,0
167,,o168,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
87,,o88,"(62.320885889767744, -65.36742522113936)",3850,Large,192.5,MCR,54,0,0
177,,o178,"(69.45553911240434, -123.85642478117892)",6160,Large,308.0,MCR,54,0,0
50,,o51,"(73.86176323396033, -82.00161497450132)",3980,Large,199.0,MCR,54,0,0
112,,o113,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
111,,o112,"(79.68636040348753, -86.0582550241544)",2580,Medium,129.0,CDU,0,200,0
141,,o142,"(68.84458532453783, -107.97645179587276)",8870,Large,443.5,CDU,0,800,0
151,,o152,"(68.27685061325028, -110.11202537942772)",930,Small,46.5,MCR,24,0,0
