,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
103,,o104,"(75.79558375563647, -80.47523646154465)",2870,Large,143.5,CDU,0,800,0
70,,o71,"(63.4618611501623, -83.8871133493362)",870,Small,43.5,ISB,0,0,7
25,,o26,"(68.84146485450003, -135.93181928799999)",9500,Large,475,CDU,0,800,0
219,,o220,"(69.24304799574003, -137.32628644705787)",40,Small,2,CDU,0,100,0
63,,o64,"(62.67141807374207, -91.42074526108482)",5910,Large,295.5,ISB,0,0,257
202,,o203,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
153,,o154,"(68.50881850976059, -113.56029332614887)",8620,Large,431,MCR,54,0,0
95,,o96,"(75.6673922554978, -79.75706546803721)",2850,Large,142.5,ISB,0,0,257
136,,o137,"(68.60055405743331, -103.02692376758618)",4420,Large,221,ISB,0,0,257
16,,o17,"(73.863248393878, -82.21842240218626)",6820,Large,341,MCR,54,0,0
204,,o205,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
73,,o74,"(64.50421666200003, -79.40601964599995)",8500,Large,425,CDU,0,800,0
8,,o9,"(75.5635711076492, -79.39084494539506)",8020,Large,401,MCR,54,0,0
33,,o34,"(70.60729619212601, -149.79801495551752)",4160,Large,208,MCR,54,0,0
15,,o16,"(62.00729885632203, -62.82936093819682)",7330,Large,366.5,ISB,0,0,257
218,,o219,"(69.51718037557096, -138.17161442754)",1750,Medium,87.5,CDU,0,200,0
172,,o173,"(72.58580863436453, -118.6375989984033)",9440,Large,472,CDU,0,800,0
152,,o153,"(67.96005174954085, -110.29820330849492)",6060,Large,303,CDU,0,800,0
115,,o116,"(79.87157046157674, -86.76528365875551)",6720,Large,336,MCR,54,0,0
94,,o95,"(67.38710856267873, -62.07480657202071)",2610,Medium,130.5,ISB,0,0,57
19,,o20,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
89,,o90,"(60.18887183950005, -63.03309323849996)",5920,Large,296,CDU,0,800,0
154,,o155,"(68.04480534914845, -112.64429531845111)",5550,Large,277.5,MCR,54,0,0
114,,o115,"(79.48266733782832, -85.11285455775378)",3090,Large,154.5,MCR,54,0,0
184,,o185,"(69.95142488481129, -132.67316873673477)",2440,Medium,122,MCR,32,0,0
180,,o181,"(70.01613233374715, -131.52472400599697)",5400,Large,270,MCR,54,0,0
42,,o43,"(70.5897855138361, -120.20613457011686)",5790,Large,289.5,ISB,0,0,257
13,,o14,"(63.39009733194669, -90.7178077525147)",6490,Large,324.5,ISB,0,0,257
211,,o212,"(62.443606696917364, -111.00252710256193)",5110,Large,255.5,ISB,0,0,257
139,,o140,"(68.61088316065039, -100.47098567249687)",7540,Large,377,CDU,0,800,0
192,,o193,"(62.185464677435625, -121.02513524883052)",8380,Large,419,MCR,54,0,0
167,,o168,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
160,,o161,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
201,,o202,"(64.31928988420061, -78.57678652571602)",9150,Large,457.5,ISB,0,0,257
133,,o134,"(69.40314705680032, -94.05186925426825)",4440,Large,222,CDU,0,800,0
132,,o133,"(68.72025863807426, -95.29801010979064)",2460,Medium,123,MCR,32,0,0
186,,o187,"(69.53712126783223, -133.21758183905516)",5620,Large,281,ISB,0,0,257
108,,o109,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
181,,o182,"(69.59976646457682, -133.1012802600841)",2560,Medium,128,CDU,0,200,0
101,,o102,"(73.77195906965841, -83.41024103851763)",3870,Large,193.5,ISB,0,0,257
144,,o145,"(68.90685321866324, -107.22305801736705)",710,Small,35.5,ISB,0,0,7
79,,o80,"(62.41069781400306, -71.18104756525088)",3740,Large,187,ISB,0,0,257
76,,o77,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
37,,o38,"(70.71465633784543, -122.91004344688142)",7820,Large,391,ISB,0,0,257
216,,o217,"(62.83142365858523, -109.67662006555832)",2050,Medium,102.5,MCR,32,0,0
191,,o192,"(68.70553599203063, -134.23381941293684)",6430,Large,321.5,ISB,0,0,257
171,,o172,"(71.65566896158523, -119.64870608943825)",8380,Large,419,MCR,54,0,0
222,,o223,"(69.16983336558708, -137.1909711618563)",6570,Large,328.5,ISB,0,0,257
148,,o149,"(66.97133695259294, -107.84159248669971)",590,Small,29.5,MCR,24,0,0
43,,o44,"(63.78303624100007, -76.34499499699996)",2910,Large,145.5,CDU,0,800,0
169,,o170,"(72.71694003783507, -118.48119587376793)",7940,Large,397,MCR,54,0,0
4,,o5,"(60.775278118169076, -63.41212184265701)",1160,Small,58,MCR,24,0,0
199,,o200,"(59.673583631830375, -81.61227363363473)",7290,Large,364.5,MCR,54,0,0
26,,o27,"(69.72113519208533, -139.68410856539091)",9260,Large,463,CDU,0,800,0
142,,o143,"(68.94250642624877, -106.2117851254049)",6440,Large,322,ISB,0,0,257
118,,o119,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
