,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
221,,o222,"(69.31797044116875, -137.48422649337462)",1880,Medium,94.0,ISB,0,0,57
0,,o1,"(63.31720065616187, -90.65327442130385)",20000,ExtLarge,1000.0,CDU,0,1400,0
90,,o91,"(61.690864687328215, -64.0055591963873)",7980,Large,399.0,ISB,0,0,257
151,,o152,"(68.27685061325028, -110.11202537942772)",930,Small,46.5,MCR,24,0,0
111,,o112,"(79.68636040348753, -86.0582550241544)",2580,Medium,129.0,CDU,0,200,0
39,,o40,"(71.09250978235556, -120.92531763952243)",6340,Large,317.0,MCR,54,0,0
84,,o85,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
14,,o15,"(61.23324144502647, -66.39771324484083)",2750,Medium,137.5,ISB,0,0,57
178,,o179,"(69.57814395413881, -123.63714273588194)",5520,Large,276.0,ISB,0,0,257
118,,o119,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
211,,o212,"(62.443606696917364, -111.00252710256193)",5110,Large,255.5,ISB,0,0,257
88,,o89,"(61.433132300613266, -63.697139433135625)",3180,Large,159.0,MCR,54,0,0
197,,o198,"(70.39901825346506, -131.88027587601508)",520,Small,26.0,MCR,24,0,0
171,,o172,"(71.65566896158523, -119.64870608943825)",8380,Large,419.0,MCR,54,0,0
173,,o174,"(72.04548849091111, -119.40991256546548)",800,Small,40.0,CDU,0,100,0
68,,o69,"(64.05066024217525, -83.19338002718928)",670,Small,33.5,MCR,24,0,0
116,,o117,"(78.62786983215882, -87.32536080101707)",3840,Large,192.0,MCR,54,0,0
85,,o86,"(63.019468234716875, -67.15623917813694)",4510,Large,225.5,MCR,54,0,0
19,,o20,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
125,,o126,"(69.17440960666154, -81.12327214048015)",270,Small,13.5,CDU,0,100,0
42,,o43,"(70.5897855138361, -120.20613457011686)",5790,Large,289.5,ISB,0,0,257
142,,o143,"(68.94250642624877, -106.2117851254049)",6440,Large,322.0,ISB,0,0,257
189,,o190,"(63.97208477287499, -93.7814628552864)",8620,Large,431.0,ISB,0,0,257
128,,o129,"(69.29654090896803, -81.60262809346669)",8910,Large,445.5,CDU,0,800,0
154,,o155,"(68.04480534914845, -112.64429531845111)",5550,Large,277.5,MCR,54,0,0
166,,o167,"(70.90146046218906, -125.06163110543224)",2030,Medium,101.5,CDU,0,200,0
120,,o121,"(76.79675252883519, -89.62904959361312)",1580,Medium,79.0,MCR,32,0,0
50,,o51,"(73.86176323396033, -82.00161497450132)",3980,Large,199.0,MCR,54,0,0
147,,o148,"(67.18986663807861, -107.7369304833852)",8640,Large,432.0,ISB,0,0,257
183,,o184,"(70.11707756435888, -131.62072900213448)",620,Small,31.0,ISB,0,0,7
158,,o159,"(69.17592919912612, -116.22757658575439)",2510,Medium,125.5,ISB,0,0,57
28,,o29,"(70.09494677297306, -141.87073425638323)",1090,Small,54.5,CDU,0,100,0
180,,o181,"(70.01613233374715, -131.52472400599697)",5400,Large,270.0,MCR,54,0,0
22,,o23,"(71.38061764992644, -127.39770370175974)",7540,Large,377.0,ISB,0,0,257
104,,o105,"(73.88189194550003, -78.43285281799996)",7320,Large,366.0,MCR,54,0,0
160,,o161,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
93,,o94,"(67.56401598135764, -62.579477186699386)",7770,Large,388.5,ISB,0,0,257
34,,o35,"(70.39398583832822, -145.02156832230372)",3030,Large,151.5,MCR,54,0,0
102,,o103,"(73.9533098894819, -84.66397820780995)",2340,Medium,117.0,CDU,0,200,0
33,,o34,"(70.60729619212601, -149.79801495551752)",4160,Large,208.0,MCR,54,0,0
79,,o80,"(62.41069781400306, -71.18104756525088)",3740,Large,187.0,ISB,0,0,257
205,,o206,"(62.02908923342707, -114.14901178022329)",3130,Large,156.5,ISB,0,0,257
117,,o118,"(77.6400001381179, -88.78879612162706)",7250,Large,362.5,ISB,0,0,257
36,,o37,"(70.920489636791, -124.56449416662973)",5830,Large,291.5,CDU,0,800,0
208,,o209,"(61.48567202760547, -114.25987964031395)",20,Small,1.0,MCR,24,0,0
23,,o24,"(71.0263633424708, -127.7679693701022)",5260,Large,263.0,CDU,0,800,0
153,,o154,"(68.50881850976059, -113.56029332614887)",8620,Large,431.0,MCR,54,0,0
101,,o102,"(73.77195906965841, -83.41024103851763)",3870,Large,193.5,ISB,0,0,257
161,,o162,"(69.47676593300005, -117.55508288599998)",3230,Large,161.5,ISB,0,0,257
1,,o2,"(61.99735832040513, -92.36804572739923)",21000,ExtLarge,1050.0,MCR,78,0,0
30,,o31,"(70.57213696968427, -148.17541107965772)",8860,Large,443.0,CDU,0,800,0
196,,o197,"(70.82301519053982, -130.33066350036327)",3920,Large,196.0,CDU,0,800,0
130,,o131,"(69.31371327858832, -94.53252534894514)",480,Small,24.0,MCR,24,0,0
149,,o150,"(68.41233483864389, -113.73033936585581)",9550,Large,477.5,CDU,0,800,0
9,,o10,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
141,,o142,"(68.84458532453783, -107.97645179587276)",8870,Large,443.5,CDU,0,800,0
132,,o133,"(68.72025863807426, -95.29801010979064)",2460,Medium,123.0,MCR,32,0,0
76,,o77,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
73,,o74,"(64.50421666200003, -79.40601964599995)",8500,Large,425.0,CDU,0,800,0
131,,o132,"(69.1313521168679, -94.73537044677148)",3490,Large,174.5,MCR,54,0,0
21,,o22,"(67.67039190028026, -134.39853014621025)",2000,Medium,100.0,ISB,0,0,57
181,,o182,"(69.59976646457682, -133.1012802600841)",2560,Medium,128.0,CDU,0,200,0
210,,o211,"(62.374623726294836, -111.61635871906296)",9020,Large,451.0,CDU,0,800,0
71,,o72,"(63.316886379044426, -79.96743737291322)",8500,Large,425.0,MCR,54,0,0
64,,o65,"(62.66616809334966, -91.38626790248023)",3820,Large,191.0,ISB,0,0,257
3,,o4,"(63.99531963827238, -76.21867695117875)",1090,Small,54.5,MCR,24,0,0
46,,o47,"(73.14326416751896, -85.52061338957746)",2400,Medium,120.0,MCR,32,0,0
45,,o46,"(63.234507475578994, -82.34986282998018)",6280,Large,314.0,CDU,0,800,0
121,,o122,"(76.5737164359083, -89.68934613747211)",2160,Medium,108.0,MCR,32,0,0
80,,o81,"(62.24416395622328, -69.75069643877805)",1670,Medium,83.5,ISB,0,0,57
143,,o144,"(68.71480928423397, -108.55260897253204)",4000,Large,200.0,MCR,54,0,0
220,,o221,"(68.96225805552139, -136.55228962883257)",7100,Large,355.0,CDU,0,800,0
202,,o203,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
186,,o187,"(69.53712126783223, -133.21758183905516)",5620,Large,281.0,ISB,0,0,257
103,,o104,"(75.79558375563647, -80.47523646154465)",2870,Large,143.5,CDU,0,800,0
218,,o219,"(69.51718037557096, -138.17161442754)",1750,Medium,87.5,CDU,0,200,0
123,,o124,"(74.247414220806, -88.98871993609323)",7270,Large,363.5,MCR,54,0,0
209,,o210,"(61.492133060791765, -113.89151294299599)",180,Small,9.0,CDU,0,100,0
194,,o195,"(68.24436354352724, -135.2450183567887)",8560,Large,428.0,MCR,54,0,0
193,,o194,"(66.34168907989162, -129.46790900649174)",9580,Large,479.0,ISB,0,0,257
107,,o108,"(74.13041980846197, -87.60536813220666)",250,Small,12.5,ISB,0,0,7
58,,o59,"(62.767265615617305, -91.76430214931487)",5320,Large,266.0,ISB,0,0,257
191,,o192,"(68.70553599203063, -134.23381941293684)",6430,Large,321.5,ISB,0,0,257
219,,o220,"(69.24304799574003, -137.32628644705787)",40,Small,2.0,CDU,0,100,0
172,,o173,"(72.58580863436453, -118.6375989984033)",9440,Large,472.0,CDU,0,800,0
215,,o216,"(62.42660173172218, -111.36708095811998)",110,Small,5.5,ISB,0,0,7
150,,o151,"(68.13950209511573, -113.42097605555624)",9740,Large,487.0,MCR,54,0,0
32,,o33,"(70.681140207655, -148.33568343024558)",7700,Large,385.0,MCR,54,0,0
63,,o64,"(62.67141807374207, -91.42074526108482)",5910,Large,295.5,ISB,0,0,257
75,,o76,"(63.96094776208527, -83.26973608946932)",8170,Large,408.5,ISB,0,0,257
43,,o44,"(63.78303624100007, -76.34499499699996)",2910,Large,145.5,CDU,0,800,0
26,,o27,"(69.72113519208533, -139.68410856539091)",9260,Large,463.0,CDU,0,800,0
213,,o214,"(62.76846511499132, -109.3384734295116)",1530,Medium,76.5,CDU,0,200,0
11,,o12,"(75.20322914875858, -78.58728931501444)",1240,Small,62.0,MCR,24,0,0
163,,o164,"(69.0440875563095, -114.16413103517168)",4480,Large,224.0,ISB,0,0,257
83,,o84,"(63.0117192156485, -73.35447129239368)",4460,Large,223.0,CDU,0,800,0
6,,o7,"(70.28645940577307, -67.00838156209814)",710,Small,35.5,ISB,0,0,7
124,,o125,"(74.35211516052063, -90.19837219704148)",930,Small,46.5,CDU,0,100,0
55,,o56,"(61.28059062663438, -93.24050320300437)",3830,Large,191.5,ISB,0,0,257
145,,o146,"(67.58089452286133, -107.94493778969186)",6050,Large,302.5,MCR,54,0,0
108,,o109,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
204,,o205,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
138,,o139,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
174,,o175,"(69.40719270339133, -123.96592127270287)",7510,Large,375.5,CDU,0,800,0
77,,o78,"(63.44877230291223, -79.56227451700632)",5290,Large,264.5,MCR,54,0,0
167,,o168,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
157,,o158,"(69.42589738150005, -117.38345517449997)",7090,Large,354.5,CDU,0,800,0
65,,o66,"(62.621525060942545, -91.40995008573063)",5080,Large,254.0,CDU,0,800,0
56,,o57,"(61.729487574993776, -92.4411304657281)",2770,Medium,138.5,MCR,32,0,0
25,,o26,"(68.84146485450003, -135.93181928799999)",9500,Large,475.0,CDU,0,800,0
60,,o61,"(62.511501191529646, -91.4601644059024)",6430,Large,321.5,ISB,0,0,257
156,,o157,"(68.03663877377954, -112.04399809938704)",8400,Large,420.0,MCR,54,0,0
114,,o115,"(79.48266733782832, -85.11285455775378)",3090,Large,154.5,MCR,54,0,0
78,,o79,"(63.42721743087256, -74.94781314446465)",4360,Large,218.0,CDU,0,800,0
72,,o73,"(63.72899507480532, -78.1097043191964)",3950,Large,197.5,CDU,0,800,0
4,,o5,"(60.775278118169076, -63.41212184265701)",1160,Small,58.0,MCR,24,0,0
86,,o87,"(60.33390402693301, -63.1711776709703)",7110,Large,355.5,CDU,0,800,0
94,,o95,"(67.38710856267873, -62.07480657202071)",2610,Medium,130.5,ISB,0,0,57
13,,o14,"(63.39009733194669, -90.7178077525147)",6490,Large,324.5,ISB,0,0,257
41,,o42,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
18,,o19,"(69.01970338203198, -105.17880159715504)",5540,Large,277.0,MCR,54,0,0
217,,o218,"(62.88357719363138, -110.37292789149316)",300,Small,15.0,MCR,24,0,0
52,,o53,"(58.851133884186325, -94.20693472697955)",3200,Large,160.0,ISB,0,0,257
127,,o128,"(68.92177985598181, -81.01565157444715)",7630,Large,381.5,MCR,54,0,0
8,,o9,"(75.5635711076492, -79.39084494539506)",8020,Large,401.0,MCR,54,0,0
66,,o67,"(64.25104027351942, -95.86234765973384)",1300,Small,65.0,ISB,0,0,7
7,,o8,"(75.56344329900006, -79.39089303999998)",5460,Large,273.0,ISB,0,0,257
206,,o207,"(61.2787986028355, -114.41660450627202)",6480,Large,324.0,MCR,54,0,0
31,,o32,"(70.63114828207598, -158.272597974529)",5430,Large,271.5,ISB,0,0,257
59,,o60,"(62.90883739440742, -90.87543554540392)",9880,Large,494.0,MCR,54,0,0
198,,o199,"(70.60895849948146, -147.15037633401403)",7900,Large,395.0,MCR,54,0,0
182,,o183,"(69.80106747616216, -132.82325328547842)",3510,Large,175.5,MCR,54,0,0
54,,o55,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
97,,o98,"(73.85872545439102, -77.06292927588505)",4820,Large,241.0,MCR,54,0,0
159,,o160,"(69.08845131190975, -114.56139924764797)",250,Small,12.5,CDU,0,100,0
92,,o93,"(64.23984829032568, -63.44266050044166)",7420,Large,371.0,MCR,54,0,0
95,,o96,"(75.6673922554978, -79.75706546803721)",2850,Large,142.5,ISB,0,0,257
134,,o135,"(69.22765564655587, -94.64195473794307)",3330,Large,166.5,MCR,54,0,0
148,,o149,"(66.97133695259294, -107.84159248669971)",590,Small,29.5,MCR,24,0,0
44,,o45,"(63.01325610670355, -87.62855894112394)",6320,Large,316.0,CDU,0,800,0
188,,o189,"(68.67783396782777, -64.47432715663773)",7730,Large,386.5,MCR,54,0,0
74,,o75,"(64.05146245505661, -77.44978608987996)",250,Small,12.5,MCR,24,0,0
89,,o90,"(60.18887183950005, -63.03309323849996)",5920,Large,296.0,CDU,0,800,0
169,,o170,"(72.71694003783507, -118.48119587376793)",7940,Large,397.0,MCR,54,0,0
140,,o141,"(68.6276630930874, -97.99902736939694)",9660,Large,483.0,CDU,0,800,0
87,,o88,"(62.320885889767744, -65.36742522113936)",3850,Large,192.5,MCR,54,0,0
222,,o223,"(69.16983336558708, -137.1909711618563)",6570,Large,328.5,ISB,0,0,257
