Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o84,"(66.01402281810057, -66.13428184797341)",5670,Large,283.5,CDU,0,800,0
o85,"(69.42589738150005, -117.38345517449997)",7090,Large,354.5,CDU,0,800,0
o86,"(62.38534533059043, -91.54392333940193)",7530,Large,376.5,ISB,0,0,257
o87,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
o88,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
o89,"(63.41049885410371, -68.10900360449682)",8120,Large,406,MCR,54,0,0
o90,"(72.81168199886528, -77.5384227852805)",8230,Large,411.5,MCR,54,0,0
o91,"(67.60082588886198, -134.7428604222584)",7800,Large,390,MCR,54,0,0
o92,"(67.58089452286133, -107.94493778969186)",6050,Large,302.5,MCR,54,0,0
o93,"(62.83142365858523, -109.67662006555832)",2050,Medium,102.5,MCR,32,0,0
o94,"(70.5897855138361, -120.20613457011686)",5790,Large,289.5,ISB,0,0,257
o95,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
o96,"(69.47676593300005, -117.55508288599998)",3230,Large,161.5,ISB,0,0,257
o97,"(69.53712126783223, -133.21758183905516)",5620,Large,281,ISB,0,0,257
o98,"(70.20526723210095, -143.45507470347903)",5700,Large,285,MCR,54,0,0
o99,"(70.90146046218906, -125.06163110543224)",2030,Medium,101.5,CDU,0,200,0
o100,"(70.63114828207598, -158.272597974529)",5430,Large,271.5,ISB,0,0,257
