Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o74,"(67.67039190028026, -134.39853014621025)",2000,Medium,100,ISB,0,0,57
o75,"(69.08845131190975, -114.56139924764797)",250,Small,12.5,CDU,0,100,0
o76,"(62.88357719363138, -110.37292789149316)",300,Small,15,MCR,24,0,0
o77,"(67.74870709975156, -63.582037936715594)",1280,Small,64,ISB,0,0,7
o78,"(67.60082588886198, -134.7428604222584)",7800,Large,390,MCR,54,0,0
o79,"(61.28059062663438, -93.24050320300437)",3830,Large,191.5,ISB,0,0,257
o80,"(70.14045441002439, -123.53033843705632)",9810,Large,490.5,CDU,0,800,0
o81,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
o82,"(70.681140207655, -148.33568343024558)",7700,Large,385,MCR,54,0,0
o83,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
o84,"(60.33390402693301, -63.1711776709703)",7110,Large,355.5,CDU,0,800,0
o85,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
o86,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
o87,"(69.1313521168679, -94.73537044677148)",3490,Large,174.5,MCR,54,0,0
o88,"(62.83142365858523, -109.67662006555832)",2050,Medium,102.5,MCR,32,0,0
o89,"(70.82301519053982, -130.33066350036327)",3920,Large,196,CDU,0,800,0
o90,"(66.82674006457319, -80.42932645870972)",3140,Large,157,CDU,0,800,0
o91,"(62.65633530378757, -111.28199524772351)",9750,Large,487.5,CDU,0,800,0
o92,"(61.433132300613266, -63.697139433135625)",3180,Large,159,MCR,54,0,0
o93,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
o94,"(62.320885889767744, -65.36742522113936)",3850,Large,192.5,MCR,54,0,0
o95,"(69.45553911240434, -123.85642478117892)",6160,Large,308,MCR,54,0,0
o96,"(73.86176323396033, -82.00161497450132)",3980,Large,199,MCR,54,0,0
o97,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
o98,"(79.68636040348753, -86.0582550241544)",2580,Medium,129,CDU,0,200,0
o99,"(68.84458532453783, -107.97645179587276)",8870,Large,443.5,CDU,0,800,0
o100,"(68.27685061325028, -110.11202537942772)",930,Small,46.5,MCR,24,0,0
