Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o57,"(75.5635711076492, -79.39084494539506)",8020,Large,401,MCR,54,0,0
o58,"(70.60729619212601, -149.79801495551752)",4160,Large,208,MCR,54,0,0
o59,"(62.00729885632203, -62.82936093819682)",7330,Large,366.5,ISB,0,0,257
o60,"(69.51718037557096, -138.17161442754)",1750,Medium,87.5,CDU,0,200,0
o61,"(72.58580863436453, -118.6375989984033)",9440,Large,472,CDU,0,800,0
o62,"(67.96005174954085, -110.29820330849492)",6060,Large,303,CDU,0,800,0
o63,"(79.87157046157674, -86.76528365875551)",6720,Large,336,MCR,54,0,0
o64,"(67.38710856267873, -62.07480657202071)",2610,Medium,130.5,ISB,0,0,57
o65,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
o66,"(60.18887183950005, -63.03309323849996)",5920,Large,296,CDU,0,800,0
o67,"(68.04480534914845, -112.64429531845111)",5550,Large,277.5,MCR,54,0,0
o68,"(79.48266733782832, -85.11285455775378)",3090,Large,154.5,MCR,54,0,0
o69,"(69.95142488481129, -132.67316873673477)",2440,Medium,122,MCR,32,0,0
o70,"(70.01613233374715, -131.52472400599697)",5400,Large,270,MCR,54,0,0
o71,"(70.5897855138361, -120.20613457011686)",5790,Large,289.5,ISB,0,0,257
o72,"(63.39009733194669, -90.7178077525147)",6490,Large,324.5,ISB,0,0,257
o73,"(62.443606696917364, -111.00252710256193)",5110,Large,255.5,ISB,0,0,257
o74,"(68.61088316065039, -100.47098567249687)",7540,Large,377,CDU,0,800,0
o75,"(62.185464677435625, -121.02513524883052)",8380,Large,419,MCR,54,0,0
o76,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
o77,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
o78,"(64.31928988420061, -78.57678652571602)",9150,Large,457.5,ISB,0,0,257
o79,"(69.40314705680032, -94.05186925426825)",4440,Large,222,CDU,0,800,0
o80,"(68.72025863807426, -95.29801010979064)",2460,Medium,123,MCR,32,0,0
o81,"(69.53712126783223, -133.21758183905516)",5620,Large,281,ISB,0,0,257
o82,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
o83,"(69.59976646457682, -133.1012802600841)",2560,Medium,128,CDU,0,200,0
o84,"(73.77195906965841, -83.41024103851763)",3870,Large,193.5,ISB,0,0,257
o85,"(68.90685321866324, -107.22305801736705)",710,Small,35.5,ISB,0,0,7
o86,"(62.41069781400306, -71.18104756525088)",3740,Large,187,ISB,0,0,257
o87,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
o88,"(70.71465633784543, -122.91004344688142)",7820,Large,391,ISB,0,0,257
o89,"(62.83142365858523, -109.67662006555832)",2050,Medium,102.5,MCR,32,0,0
o90,"(68.70553599203063, -134.23381941293684)",6430,Large,321.5,ISB,0,0,257
o91,"(71.65566896158523, -119.64870608943825)",8380,Large,419,MCR,54,0,0
o92,"(69.16983336558708, -137.1909711618563)",6570,Large,328.5,ISB,0,0,257
o93,"(66.97133695259294, -107.84159248669971)",590,Small,29.5,MCR,24,0,0
o94,"(63.78303624100007, -76.34499499699996)",2910,Large,145.5,CDU,0,800,0
o95,"(72.71694003783507, -118.48119587376793)",7940,Large,397,MCR,54,0,0
o96,"(60.775278118169076, -63.41212184265701)",1160,Small,58,MCR,24,0,0
o97,"(59.673583631830375, -81.61227363363473)",7290,Large,364.5,MCR,54,0,0
o98,"(69.72113519208533, -139.68410856539091)",9260,Large,463,CDU,0,800,0
o99,"(68.94250642624877, -106.2117851254049)",6440,Large,322,ISB,0,0,257
o100,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
