Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o30,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
o31,"(66.01402281810057, -66.13428184797341)",5670,Large,283.5,CDU,0,800,0
o32,"(72.58580863436453, -118.6375989984033)",9440,Large,472,CDU,0,800,0
o33,"(71.65566896158523, -119.64870608943825)",8380,Large,419,MCR,54,0,0
o34,"(60.775278118169076, -63.41212184265701)",1160,Small,58,MCR,24,0,0
o35,"(63.97208477287499, -93.7814628552864)",8620,Large,431,ISB,0,0,257
o36,"(74.247414220806, -88.98871993609323)",7270,Large,363.5,MCR,54,0,0
o37,"(69.47676593300005, -117.55508288599998)",3230,Large,161.5,ISB,0,0,257
o38,"(61.48567202760547, -114.25987964031395)",20,Small,1,MCR,24,0,0
o39,"(70.09494677297306, -141.87073425638323)",1090,Small,54.5,CDU,0,100,0
o40,"(68.60055405743331, -103.02692376758618)",4420,Large,221,ISB,0,0,257
o41,"(72.71694003783507, -118.48119587376793)",7940,Large,397,MCR,54,0,0
o42,"(67.38710856267873, -62.07480657202071)",2610,Medium,130.5,ISB,0,0,57
o43,"(61.433132300613266, -63.697139433135625)",3180,Large,159,MCR,54,0,0
o44,"(64.17368927156971, -95.39797114837724)",9690,Large,484.5,ISB,0,0,257
o45,"(60.18887183950005, -63.03309323849996)",5920,Large,296,CDU,0,800,0
o46,"(60.33390402693301, -63.1711776709703)",7110,Large,355.5,CDU,0,800,0
o47,"(76.18642266759578, -85.19263923120073)",7110,Large,355.5,ISB,0,0,257
o48,"(73.14326416751896, -85.52061338957746)",2400,Medium,120,MCR,32,0,0
o49,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
o50,"(62.320885889767744, -65.36742522113936)",3850,Large,192.5,MCR,54,0,0
o51,"(77.3499153736386, -69.69027455288698)",9950,Large,497.5,CDU,0,800,0
o52,"(62.621525060942545, -91.40995008573063)",5080,Large,254,CDU,0,800,0
o53,"(62.511501191529646, -91.4601644059024)",6430,Large,321.5,ISB,0,0,257
o54,"(75.6673922554978, -79.75706546803721)",2850,Large,142.5,ISB,0,0,257
o55,"(71.09250978235556, -120.92531763952243)",6340,Large,317,MCR,54,0,0
o56,"(62.876152621334256, -109.93912844523146)",5690,Large,284.5,CDU,0,800,0
o57,"(62.90883739440742, -90.87543554540392)",9880,Large,494,MCR,54,0,0
o58,"(68.84458532453783, -107.97645179587276)",8870,Large,443.5,CDU,0,800,0
o59,"(64.23984829032568, -63.44266050044166)",7420,Large,371,MCR,54,0,0
o60,"(67.7826361707032, -108.49048393954631)",400,Small,20,ISB,0,0,7
o61,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
o62,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
o63,"(67.56401598135764, -62.579477186699386)",7770,Large,388.5,ISB,0,0,257
o64,"(68.13950209511573, -113.42097605555624)",9740,Large,487,MCR,54,0,0
o65,"(72.99092099923107, -74.71753868243371)",5470,Large,273.5,CDU,0,800,0
o66,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
o67,"(62.38534533059043, -91.54392333940193)",7530,Large,376.5,ISB,0,0,257
o68,"(65.41332188088147, -83.14953750470904)",5720,Large,286,ISB,0,0,257
o69,"(69.08988419440739, -115.22715167910987)",900,Small,45,CDU,0,100,0
o70,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
o71,"(63.0117192156485, -73.35447129239368)",4460,Large,223,CDU,0,800,0
o72,"(78.62786983215882, -87.32536080101707)",3840,Large,192,MCR,54,0,0
o73,"(62.76846511499132, -109.3384734295116)",1530,Medium,76.5,CDU,0,200,0
o74,"(75.56344329900006, -79.39089303999998)",5460,Large,273,ISB,0,0,257
o75,"(69.31371327858832, -94.53252534894514)",480,Small,24,MCR,24,0,0
o76,"(69.62626467075341, -138.8750452576395)",8980,Large,449,MCR,54,0,0
o77,"(70.62487977207968, -124.07225517408429)",7980,Large,399,CDU,0,800,0
o78,"(68.71480928423397, -108.55260897253204)",4000,Large,200,MCR,54,0,0
o79,"(75.79558375563647, -80.47523646154465)",2870,Large,143.5,CDU,0,800,0
o80,"(64.05066024217525, -83.19338002718928)",670,Small,33.5,MCR,24,0,0
o81,"(69.16983336558708, -137.1909711618563)",6570,Large,328.5,ISB,0,0,257
o82,"(73.1920044233558, -85.01565149145881)",2640,Medium,132,MCR,32,0,0
o83,"(68.67783396782777, -64.47432715663773)",7730,Large,386.5,MCR,54,0,0
o84,"(61.6692048307691, -92.63760265599092)",8610,Large,430.5,MCR,54,0,0
o85,"(61.492133060791765, -113.89151294299599)",180,Small,9,CDU,0,100,0
o86,"(71.0263633424708, -127.7679693701022)",5260,Large,263,CDU,0,800,0
o87,"(76.5737164359083, -89.68934613747211)",2160,Medium,108,MCR,32,0,0
o88,"(63.41049885410371, -68.10900360449682)",8120,Large,406,MCR,54,0,0
o89,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
o90,"(68.92177985598181, -81.01565157444715)",7630,Large,381.5,MCR,54,0,0
o91,"(61.28059062663438, -93.24050320300437)",3830,Large,191.5,ISB,0,0,257
o92,"(63.316886379044426, -79.96743737291322)",8500,Large,425,MCR,54,0,0
o93,"(70.82301519053982, -130.33066350036327)",3920,Large,196,CDU,0,800,0
o94,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
o95,"(62.24416395622328, -69.75069643877805)",1670,Medium,83.5,ISB,0,0,57
o96,"(62.66616809334966, -91.38626790248023)",3820,Large,191,ISB,0,0,257
o97,"(68.62536468650006, -95.83653120849996)",6160,Large,308,CDU,0,800,0
o98,"(70.681140207655, -148.33568343024558)",7700,Large,385,MCR,54,0,0
o99,"(69.08845131190975, -114.56139924764797)",250,Small,12.5,CDU,0,100,0
o100,"(62.443606696917364, -111.00252710256193)",5110,Large,255.5,ISB,0,0,257
