Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o75,"(60.33390402693301, -63.1711776709703)",7110,Large,355.5,CDU,0,800,0
o76,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
o77,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
o78,"(59.92378260826657, -94.01648338111892)",720,Small,36,ISB,0,0,7
o79,"(72.04548849091111, -119.40991256546548)",800,Small,40,CDU,0,100,0
o80,"(69.01970338203198, -105.17880159715504)",5540,Large,277,MCR,54,0,0
o81,"(68.61088316065039, -100.47098567249687)",7540,Large,377,CDU,0,800,0
o82,"(60.97260327915446, -93.83363973579043)",8840,Large,442,ISB,0,0,257
o83,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
o84,"(61.23324144502647, -66.39771324484083)",2750,Medium,137.5,ISB,0,0,57
o85,"(62.185464677435625, -121.02513524883052)",8380,Large,419,MCR,54,0,0
o86,"(70.60895849948146, -147.15037633401403)",7900,Large,395,MCR,54,0,0
o87,"(71.0263633424708, -127.7679693701022)",5260,Large,263,CDU,0,800,0
o88,"(68.96225805552139, -136.55228962883257)",7100,Large,355,CDU,0,800,0
o89,"(63.72899507480532, -78.1097043191964)",3950,Large,197.5,CDU,0,800,0
o90,"(72.81168199886528, -77.5384227852805)",8230,Large,411.5,MCR,54,0,0
o91,"(62.83142365858523, -109.67662006555832)",2050,Medium,102.5,MCR,32,0,0
o92,"(70.20526723210095, -143.45507470347903)",5700,Large,285,MCR,54,0,0
o93,"(62.00729885632203, -62.82936093819682)",7330,Large,366.5,ISB,0,0,257
o94,"(68.67783396782777, -64.47432715663773)",7730,Large,386.5,MCR,54,0,0
o95,"(73.85872545439102, -77.06292927588505)",4820,Large,241,MCR,54,0,0
o96,"(61.492133060791765, -113.89151294299599)",180,Small,9,CDU,0,100,0
o97,"(74.29436777063665, -76.886204417729)",1260,Small,63,CDU,0,100,0
o98,"(69.24304799574003, -137.32628644705787)",40,Small,2,CDU,0,100,0
o99,"(69.59976646457682, -133.1012802600841)",2560,Medium,128,CDU,0,200,0
o100,"(69.16983336558708, -138.1909711618563)",1820,Medium,91,CDU,0,200,0
