Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o53,"(62.24416395622328, -69.75069643877805)",1670,Medium,83.5,ISB,0,0,57
o54,"(69.1313521168679, -94.73537044677148)",3490,Large,174.5,MCR,54,0,0
o55,"(72.04548849091111, -119.40991256546548)",800,Small,40,CDU,0,100,0
o56,"(69.34680717325818, -117.11179869882808)",3820,Large,191,MCR,54,0,0
o57,"(69.24304799574003, -137.32628644705787)",40,Small,2,CDU,0,100,0
o58,"(70.681140207655, -148.33568343024558)",7700,Large,385,MCR,54,0,0
o59,"(72.74823151708713, -78.00626226670953)",2780,Medium,139,MCR,32,0,0
o60,"(64.17368927156971, -95.39797114837724)",9690,Large,484.5,ISB,0,0,257
o61,"(69.72113519208533, -139.68410856539091)",9260,Large,463,CDU,0,800,0
o62,"(64.25104027351942, -95.86234765973384)",1300,Small,65,ISB,0,0,7
o63,"(71.65566896158523, -119.64870608943825)",8380,Large,419,MCR,54,0,0
o64,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
o65,"(60.97260327915446, -93.83363973579043)",8840,Large,442,ISB,0,0,257
o66,"(73.60427636290437, -84.55935613723193)",1360,Small,68,ISB,0,0,7
o67,"(63.67264697989824, -91.65957636365208)",9330,Large,466.5,CDU,0,800,0
o68,"(69.53712126783223, -133.21758183905516)",5620,Large,281,ISB,0,0,257
o69,"(61.492133060791765, -113.89151294299599)",180,Small,9,CDU,0,100,0
o70,"(63.4618611501623, -83.8871133493362)",870,Small,43.5,ISB,0,0,7
o71,"(63.31720065616187, -90.65327442130385)",20000,ExtLarge,1000,CDU,0,1400,0
o72,"(69.40314705680032, -94.05186925426825)",4440,Large,222,CDU,0,800,0
o73,"(61.433132300613266, -63.697139433135625)",3180,Large,159,MCR,54,0,0
o74,"(69.42589738150005, -117.38345517449997)",7090,Large,354.5,CDU,0,800,0
o75,"(61.48567202760547, -114.25987964031395)",20,Small,1,MCR,24,0,0
o76,"(70.63114828207598, -158.272597974529)",5430,Large,271.5,ISB,0,0,257
o77,"(68.72025863807426, -95.29801010979064)",2460,Medium,123,MCR,32,0,0
o78,"(73.50664632584939, -84.9442531960175)",8370,Large,418.5,ISB,0,0,257
o79,"(74.35211516052063, -90.19837219704148)",930,Small,46.5,CDU,0,100,0
o80,"(68.50881850976059, -113.56029332614887)",8620,Large,431,MCR,54,0,0
o81,"(63.234507475578994, -82.34986282998018)",6280,Large,314,CDU,0,800,0
o82,"(69.50998600005587, -123.74964599851127)",5280,Large,264,MCR,54,0,0
o83,"(67.96005174954085, -110.29820330849492)",6060,Large,303,CDU,0,800,0
o84,"(77.3499153736386, -69.69027455288698)",9950,Large,497.5,CDU,0,800,0
o85,"(66.97133695259294, -107.84159248669971)",590,Small,29.5,MCR,24,0,0
o86,"(68.94250642624877, -106.2117851254049)",6440,Large,322,ISB,0,0,257
o87,"(63.97208477287499, -93.7814628552864)",8620,Large,431,ISB,0,0,257
o88,"(79.10568207193272, -85.69568076457762)",5260,Large,263,MCR,54,0,0
o89,"(69.57814395413881, -123.63714273588194)",5520,Large,276,ISB,0,0,257
o90,"(59.673583631830375, -81.61227363363473)",7290,Large,364.5,MCR,54,0,0
o91,"(70.60729619212601, -149.79801495551752)",4160,Large,208,MCR,54,0,0
o92,"(67.60082588886198, -134.7428604222584)",7800,Large,390,MCR,54,0,0
o93,"(68.90685321866324, -107.22305801736705)",710,Small,35.5,ISB,0,0,7
o94,"(68.6276630930874, -97.99902736939694)",9660,Large,483,CDU,0,800,0
o95,"(70.90146046218906, -125.06163110543224)",2030,Medium,101.5,CDU,0,200,0
o96,"(73.14326416751896, -85.52061338957746)",2400,Medium,120,MCR,32,0,0
o97,"(61.6692048307691, -92.63760265599092)",8610,Large,430.5,MCR,54,0,0
o98,"(61.729487574993776, -92.4411304657281)",2770,Medium,138.5,MCR,32,0,0
o99,"(69.51718037557096, -138.17161442754)",1750,Medium,87.5,CDU,0,200,0
o100,"(70.62487977207968, -124.07225517408429)",7980,Large,399,CDU,0,800,0
