Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o80,"(64.25104027351942, -95.86234765973384)",1300,Small,65,ISB,0,0,7
o81,"(66.97133695259294, -107.84159248669971)",590,Small,29.5,MCR,24,0,0
o82,"(69.1313521168679, -94.73537044677148)",3490,Large,174.5,MCR,54,0,0
o83,"(73.863248393878, -82.21842240218626)",6820,Large,341,MCR,54,0,0
o84,"(62.65633530378757, -111.28199524772351)",9750,Large,487.5,CDU,0,800,0
o85,"(62.02908923342707, -114.14901178022329)",3130,Large,156.5,ISB,0,0,257
o86,"(61.09720726830651, -115.372447561338)",730,Small,36.5,ISB,0,0,7
o87,"(69.40314705680032, -94.05186925426825)",4440,Large,222,CDU,0,800,0
o88,"(68.03663877377954, -112.04399809938704)",8400,Large,420,MCR,54,0,0
o89,"(64.05146245505661, -77.44978608987996)",250,Small,12.5,MCR,24,0,0
o90,"(73.1920044233558, -85.01565149145881)",2640,Medium,132,MCR,32,0,0
o91,"(68.72025863807426, -95.29801010979064)",2460,Medium,123,MCR,32,0,0
o92,"(72.99092099923107, -74.71753868243371)",5470,Large,273.5,CDU,0,800,0
o93,"(69.53712126783223, -133.21758183905516)",5620,Large,281,ISB,0,0,257
o94,"(69.57814395413881, -123.63714273588194)",5520,Large,276,ISB,0,0,257
o95,"(69.45553911240434, -123.85642478117892)",6160,Large,308,MCR,54,0,0
o96,"(70.60729619212601, -149.79801495551752)",4160,Large,208,MCR,54,0,0
o97,"(70.20526723210095, -143.45507470347903)",5700,Large,285,MCR,54,0,0
o98,"(69.65900176755282, -133.00468643867222)",2900,Large,145,CDU,0,800,0
o99,"(62.67141807374207, -91.42074526108482)",5910,Large,295.5,ISB,0,0,257
o100,"(67.96005174954085, -110.29820330849492)",6060,Large,303,CDU,0,800,0
